Date,Open,High,Low,Close,Adj Close,Volume
2018-03-06,,,,,,
2018-03-07,0.003,0.003,0.002,0.002,0.002,332330.0
2018-03-08,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-11,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-12,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-13,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-14,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-15,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-18,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-19,0.002,0.002,0.002,0.002,0.002,3454.0
2018-03-20,0.002,0.002,0.002,0.002,0.002,0.0
2018-03-21,0.003,0.003,0.003,0.003,0.003,4860000.0
2018-03-22,0.003,0.003,0.003,0.003,0.003,340000.0
2018-03-25,0.003,0.003,0.003,0.003,0.003,0.0
2018-03-26,0.003,0.003,0.003,0.003,0.003,0.0
2018-03-27,0.003,0.003,0.003,0.003,0.003,0.0
2018-03-28,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-03,0.003,0.003,0.003,0.003,0.003,200016.0
2018-04-04,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-05,0.003,0.003,0.003,0.003,0.003,1039005.0
2018-04-06,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-09,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-10,0.003,0.003,0.003,0.003,0.003,160995.0
2018-04-11,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-12,0.003,0.003,0.003,0.003,0.003,220000.0
2018-04-13,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-16,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-17,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-18,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-19,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-20,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-23,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-24,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-26,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-27,0.003,0.003,0.003,0.003,0.003,0.0
2018-04-30,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-01,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-02,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-03,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-04,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-07,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-08,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-09,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-10,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-11,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-14,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-15,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-16,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-17,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-18,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-21,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-22,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-23,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-24,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-25,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-28,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-29,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-30,0.003,0.003,0.003,0.003,0.003,0.0
2018-05-31,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-01,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-04,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-05,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-06,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-07,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-08,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-12,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-13,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-14,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-15,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-18,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-19,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-20,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-21,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-22,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-25,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-26,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-27,0.003,0.003,0.003,0.003,0.003,0.0
2018-06-28,0.003,0.003,0.003,0.003,0.003,86351.0
2018-06-29,0.003,0.003,0.003,0.003,0.003,300000.0
2018-07-02,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-03,0.003,0.004,0.003,0.004,0.004,779000.0
2018-07-04,0.003,0.003,0.003,0.003,0.003,2000.0
2018-07-05,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-06,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-09,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-10,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-11,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-12,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-13,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-16,0.003,0.003,0.003,0.003,0.003,280000.0
2018-07-17,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-18,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-19,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-20,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-23,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-24,0.003,0.003,0.003,0.003,0.003,1324000.0
2018-07-25,0.003,0.003,0.003,0.003,0.003,1324000.0
2018-07-26,0.003,0.003,0.003,0.003,0.003,129.0
2018-07-27,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-30,0.003,0.003,0.003,0.003,0.003,0.0
2018-07-31,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-01,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-02,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-03,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-06,0.003,0.003,0.003,0.003,0.003,1601812.0
2018-08-07,0.004,0.004,0.004,0.004,0.004,500000.0
2018-08-08,0.004,0.004,0.004,0.004,0.004,0.0
2018-08-09,0.004,0.004,0.004,0.004,0.004,0.0
2018-08-10,0.004,0.004,0.004,0.004,0.004,1100000.0
2018-08-13,0.004,0.004,0.004,0.004,0.004,1100000.0
2018-08-14,0.004,0.004,0.004,0.004,0.004,0.0
2018-08-15,0.004,0.004,0.004,0.004,0.004,874001.0
2018-08-16,0.004,0.004,0.004,0.004,0.004,0.0
2018-08-17,0.004,0.004,0.004,0.004,0.004,0.0
2018-08-20,0.003,0.003,0.003,0.003,0.003,92751.0
2018-08-21,0.003,0.003,0.003,0.003,0.003,1378999.0
2018-08-22,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-23,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-24,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-27,0.003,0.003,0.003,0.003,0.003,347833.0
2018-08-28,0.003,0.003,0.003,0.003,0.003,347833.0
2018-08-29,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-30,0.003,0.003,0.003,0.003,0.003,0.0
2018-08-31,0.003,0.003,0.003,0.003,0.003,5000.0
2018-09-03,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-04,0.003,0.003,0.003,0.003,0.003,200016.0
2018-09-05,0.003,0.003,0.003,0.003,0.003,64000.0
2018-09-06,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-07,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-10,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-11,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-12,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-13,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-14,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-17,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-18,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-19,0.003,0.003,0.003,0.003,0.003,400000.0
2018-09-20,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-21,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-24,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-25,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-26,0.003,0.003,0.003,0.003,0.003,0.0
2018-09-27,0.003,0.003,0.003,0.003,0.003,373000.0
2018-09-28,0.003,0.003,0.003,0.003,0.003,0.0
2018-10-01,0.003,0.003,0.003,0.003,0.003,0.0
2018-10-02,0.003,0.003,0.003,0.003,0.003,0.0
2018-10-03,0.003,0.003,0.003,0.003,0.003,77000.0
