Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-03,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-04,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-05,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-08,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-09,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-10,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-11,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-12,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-15,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-16,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-17,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-18,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-19,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-22,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-23,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-24,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-26,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-29,,,,,,
2012-01-30,0.504,0.504,0.504,0.504,0.504,0.0
2012-01-31,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-01,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-02,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-05,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-06,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-07,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-08,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-09,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-12,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-13,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-14,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-15,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-16,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-19,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-20,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-21,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-22,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-23,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-26,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-27,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-28,0.504,0.504,0.504,0.504,0.504,0.0
2012-02-29,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-01,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-04,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-05,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-06,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-07,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-08,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-11,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-12,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-13,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-14,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-15,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-18,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-19,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-20,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-21,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-22,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-25,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-26,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-27,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-28,0.504,0.504,0.504,0.504,0.504,0.0
2012-03-29,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-02,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-03,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-04,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-05,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-10,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-11,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-12,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-13,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-16,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-17,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-18,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-19,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-20,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-23,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-24,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-26,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-27,0.504,0.504,0.504,0.504,0.504,0.0
2012-04-30,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-01,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-02,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-03,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-04,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-07,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-08,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-09,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-10,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-11,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-14,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-15,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-16,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-17,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-18,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-21,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-22,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-23,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-24,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-25,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-28,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-29,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-30,0.504,0.504,0.504,0.504,0.504,0.0
2012-05-31,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-01,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-04,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-05,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-06,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-07,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-08,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-12,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-13,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-14,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-15,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-18,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-19,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-20,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-21,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-22,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-25,0.504,0.504,0.504,0.504,0.504,0.0
2012-06-26,0.504,0.504,0.504,0.504,0.504,0.0
