Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-03,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-04,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-05,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-08,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-09,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-10,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-11,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-01-12,0.0144,0.0144,0.0144,0.0144,0.0144,88889.0
2012-01-15,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-16,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-17,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-18,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-19,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-22,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-23,0.0135,0.0135,0.0135,0.0135,0.0135,44444.0
2012-01-24,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-26,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-29,,,,,,
2012-01-30,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-01-31,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-02-01,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-02-02,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-02-05,0.0144,0.0144,0.0144,0.0144,0.0144,0.0
2012-02-06,0.0135,0.0135,0.0126,0.0126,0.0126,111111.0
2012-02-07,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-08,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-09,0.0126,0.0126,0.0126,0.0126,0.0126,74073.0
2012-02-12,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-13,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-14,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-15,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-16,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-19,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-20,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-21,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-02-22,0.0117,0.0117,0.0117,0.0117,0.0117,44444.0
2012-02-23,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-02-26,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-02-27,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-02-28,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-02-29,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-01,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-04,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-05,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-06,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-07,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-08,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-11,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-12,0.0117,0.0117,0.0117,0.0117,0.0117,809260.0
2012-03-13,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-14,0.0117,0.0117,0.0117,0.0117,0.0117,0.0
2012-03-15,0.0117,0.0117,0.0117,0.0117,0.0117,31482.0
2012-03-18,0.0126,0.0126,0.0126,0.0126,0.0126,277778.0
2012-03-19,0.0135,0.0153,0.0135,0.0153,0.0153,555556.0
2012-03-20,0.0144,0.0144,0.0144,0.0144,0.0144,69444.0
2012-03-21,0.0153,0.0153,0.0126,0.0126,0.0126,197633.0
2012-03-22,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-03-25,0.0126,0.0126,0.0126,0.0126,0.0126,0.0
2012-03-26,0.0144,0.0162,0.0144,0.0162,0.0162,1083333.0
2012-03-27,0.0162,0.0162,0.0162,0.0162,0.0162,0.0
2012-03-28,0.0135,0.0135,0.0135,0.0135,0.0135,277778.0
2012-03-29,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-04-02,0.0153,0.0162,0.0153,0.0162,0.0162,388889.0
2012-04-03,0.0162,0.0171,0.0162,0.0171,0.0171,388889.0
2012-04-04,0.0171,0.018000000000000002,0.0171,0.018000000000000002,0.018000000000000002,194444.0
2012-04-05,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0
2012-04-10,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.018000000000000002,0.0
2012-04-11,0.0153,0.0153,0.0144,0.0153,0.0153,1339505.0
2012-04-12,0.0153,0.0153,0.0153,0.0153,0.0153,0.0
2012-04-13,0.0153,0.0153,0.0153,0.0153,0.0153,0.0
2012-04-16,0.0153,0.0153,0.0153,0.0153,0.0153,0.0
2012-04-17,0.0153,0.0153,0.0153,0.0153,0.0153,0.0
2012-04-18,0.0153,0.0153,0.0153,0.0153,0.0153,0.0
2012-04-19,0.0153,0.0153,0.0153,0.0153,0.0153,0.0
2012-04-20,0.0135,0.0135,0.0135,0.0135,0.0135,16667.0
2012-04-23,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-04-24,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-04-26,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-04-27,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-04-30,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-01,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-02,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-03,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-04,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-07,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-08,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-09,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-10,0.0135,0.0135,0.0135,0.0135,0.0135,38890.0
2012-05-11,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-14,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-15,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-16,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-17,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-18,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-21,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-22,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-23,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-24,0.0135,0.0135,0.0135,0.0135,0.0135,0.0
2012-05-25,0.0072,0.0072,0.0072,0.0072,0.0072,194444.0
2012-05-28,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-05-29,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-05-30,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-05-31,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-01,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-04,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-05,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-06,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-07,0.0072,0.0072,0.0072,0.0072,0.0072,5556.0
2012-06-08,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-12,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-13,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-14,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-15,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-18,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-19,0.0063,0.0063,0.0063,0.0063,0.0063,63401.0
2012-06-20,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-06-21,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-06-22,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-06-25,0.0063,0.0063,0.0063,0.0063,0.0063,36667.0
2012-06-26,0.0063,0.0072,0.0063,0.0072,0.0072,44444.0
2012-06-27,0.0072,0.0072,0.0072,0.0072,0.0072,0.0
2012-06-28,0.0063,0.0063,0.0063,0.0063,0.0063,55556.0
2012-06-29,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-02,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-03,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-04,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-05,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-06,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-09,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-10,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-11,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-12,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-13,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-16,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-17,0.0063,0.0063,0.0063,0.0063,0.0063,0.0
2012-07-18,0.0063,0.0081,0.0063,0.0081,0.0081,1944444.0
2012-07-19,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-20,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-23,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-24,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-25,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-26,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-27,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-30,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-07-31,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-01,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-02,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-03,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-06,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-07,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-08,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-09,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-10,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-13,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-14,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-15,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-16,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-17,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-20,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-21,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-22,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-23,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-24,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-27,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-28,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-29,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-30,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-08-31,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-09-03,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
2012-09-04,0.0081,0.0081,0.0081,0.0081,0.0081,0.0
